"id","name","city","country_code","state_province","latitude","longitude","ports","power_kw","power_class","is_fast_dc"
460199,LIDL Supermarket,Międzyzdroje,PL,Zachodniopomorskie,53.924665,14.447102,1,60,DC_FAST_(50-149kW),true
460080,Poznan Plaza,Poznan,PL,wielkopolska,52.441054,16.918287,1,22,AC_HIGH_(22-49kW),false
459865,Parking Zawoja Markowa,Zawoja,PL,Małopolska,49.608836,19.517376,2,11,AC_L2_(7.5-21kW),false
312711,Centrum Medyczne Biale Blota,Biale Blota,PL,"",53.096373,17.90386,1,22,AC_HIGH_(22-49kW),false
312658,MOP Leonia,Leonia,PL,"",52.15167,18.456792,2,150,DC_ULTRA_(>=150kW),true
307835,Amber Suite Hotel,Międzywodzie,PL,zachodniopomorskie,54.005477,14.698127,2,11,AC_L2_(7.5-21kW),false
307729,stacja ładowania Leroy Merlin,Jelenia Góra,PL,"",50.923189,15.767121,1,22,AC_HIGH_(22-49kW),false
307648,stacja ładowania,Jelenia Góra,PL,"",50.919471,15.759507,1,11,AC_L2_(7.5-21kW),false
307435,Tesla Supercharger Gliwice,Gliwice,PL,"",50.256036,18.65446,12,250,DC_ULTRA_(>=150kW),true
306835,Marina Solna Elbud 50kW,Pustkowo,PL,Gryfice County,54.061811,14.960052,2,50,DC_FAST_(50-149kW),true
306398,Aleja Dębowa,Wrocław,PL,Dolnośląskie,51.079758,17.020224,3,180,DC_ULTRA_(>=150kW),true
306208,Aleja Wilanowska,"",PL,województwo mazowieckie,52.179042,21.013328,2,50,DC_FAST_(50-149kW),true
303140,Tesla Supercharger Warsaw,Ząbki,PL,"",52.3019,21.088114,14,250,DC_ULTRA_(>=150kW),true
303139,Tesla Supercharger Bialystok,Białystok,PL,"",53.125324,23.168535,6,250,DC_ULTRA_(>=150kW),true
303138,Tesla Supercharger Lublin,Lublin,PL,"",51.282172,22.570222,4,250,DC_ULTRA_(>=150kW),true
303137,Tesla Supercharger Lucmierz,Zgierz,PL,"",51.8869,19.384361,4,250,DC_ULTRA_(>=150kW),true
303136,Tesla Supercharger Szczecin,Szczecin,PL,"",53.381877,14.67017,12,250,DC_ULTRA_(>=150kW),true
302372,kaufland stettin,Stettin,PL,"",53.38486,14.658785,3,18,AC_L2_(7.5-21kW),false
301733,Ionity Skawina,Skawina,PL,województwo małopolskie,49.98901,19.834579,6,350,DC_ULTRA_(>=150kW),true
301732,Ionity MOP Mlynski Staw (dir. Wroclaw),"",PL,"",50.676727,17.65732,4,350,DC_ULTRA_(>=150kW),true
